epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1055,1.60053,4.98913,3.50955,2.0469,0.00436,0.61364,0.0813,0.06014,0.00219,0.30632,0.02438,0.00595,0.9287,3.74364,2.97706,1.55608,0.0673626,0.00032967,0.00032967
2,25.0404,0.98133,3.04599,3.15271,1.45889,0.00667,0.97727,0.38501,0.3145,0.00651,0.95553,0.36889,0.1857,0.50795,1.94995,2.72456,1.13468,0.0343495,0.000649876,0.000649876
3,37.1412,0.6615,1.85497,2.61692,1.17638,0.84749,0.93199,0.95762,0.79622,0.84749,0.93199,0.95591,0.70605,0.60652,1.47494,1.7027,1.20094,0.00132318,0.000956882,0.000956882
4,49.3467,0.60646,1.45402,1.59454,1.14625,0.96028,0.93281,0.9746,0.88096,0.96028,0.93281,0.96919,0.82078,0.39959,1.05356,1.50065,0.99581,0.0009406,0.0009406,0.0009406
5,61.1006,0.50211,1.16947,1.16919,1.08474,0.98357,0.97826,0.98122,0.91,0.98357,0.97826,0.97507,0.85952,0.3712,0.84994,0.77259,0.96858,0.0009208,0.0009208,0.0009208
6,72.9931,0.45566,1.03201,1.03633,1.01502,0.99158,0.97826,0.98197,0.9283,0.99158,0.97826,0.97506,0.89403,0.30716,0.82443,0.63557,0.91347,0.000901,0.000901,0.000901
7,84.8517,0.40257,0.93564,0.94007,0.95148,0.99285,0.97826,0.98097,0.94282,0.99285,0.97826,0.97507,0.90163,0.27867,0.82155,0.6499,0.89029,0.0008812,0.0008812,0.0008812
8,96.8371,0.38765,0.86215,0.90121,0.95801,0.99565,0.97826,0.98167,0.94455,0.99565,0.97826,0.97507,0.90863,0.26776,0.77184,0.59088,0.88237,0.0008614,0.0008614,0.0008614
9,108.688,0.37115,0.87112,0.87526,0.95105,0.99632,0.97826,0.97577,0.95565,0.99632,0.97826,0.97507,0.91081,0.23673,0.72559,0.58097,0.86161,0.0008416,0.0008416,0.0008416
10,120.4,0.34944,0.80374,0.83386,0.92504,0.99698,0.97826,0.97582,0.94684,0.99698,0.97826,0.97507,0.9234,0.24336,0.72143,0.55487,0.86061,0.0008218,0.0008218,0.0008218
