epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,643.5,0.28824,0.70893,0.4992,0.85887,0.9963,0.97826,0.97534,0.96729,0.9963,0.97826,0.97508,0.93805,0.17694,0.53515,0.31871,0.83294,0.0004258,0.0004258,0.0004258
31,664.891,0.28019,0.67363,0.4951,0.86387,0.99611,0.97826,0.97535,0.95853,0.99611,0.97826,0.97507,0.94575,0.17472,0.44601,0.31704,0.83283,0.000406,0.000406,0.000406
32,686.507,0.28989,0.70159,0.49225,0.86731,0.99641,0.97826,0.97592,0.96331,0.99641,0.97826,0.97508,0.9397,0.17915,0.48677,0.30942,0.83368,0.0003862,0.0003862,0.0003862
33,707.414,0.28092,0.692,0.48457,0.85806,0.99647,0.97826,0.97585,0.96247,0.99647,0.97826,0.97508,0.93956,0.17996,0.46917,0.30433,0.83297,0.0003664,0.0003664,0.0003664
34,728.641,0.28143,0.70569,0.48033,0.85946,0.99664,0.97826,0.97566,0.96542,0.99664,0.97826,0.97508,0.93768,0.17263,0.4794,0.29819,0.82991,0.0003466,0.0003466,0.0003466
35,749.928,0.28882,0.69173,0.48301,0.86873,0.99629,0.97826,0.97605,0.96394,0.99629,0.97826,0.97508,0.92929,0.17093,0.4723,0.30796,0.83099,0.0003268,0.0003268,0.0003268
36,770.15,0.2813,0.66505,0.4734,0.86108,0.9969,0.97826,0.97535,0.963,0.9969,0.97826,0.97508,0.91684,0.17234,0.47468,0.30491,0.83063,0.000307,0.000307,0.000307
37,791.095,0.27528,0.67585,0.47068,0.85223,0.99634,0.97826,0.97617,0.96933,0.99634,0.97826,0.97508,0.94837,0.17064,0.46151,0.30104,0.82892,0.0002872,0.0002872,0.0002872
38,812.144,0.28034,0.69515,0.46702,0.86267,0.99633,0.97826,0.97527,0.96208,0.99633,0.97826,0.97508,0.93065,0.17183,0.44273,0.29569,0.82955,0.0002674,0.0002674,0.0002674
39,832.267,0.27131,0.64848,0.46346,0.85603,0.9961,0.97826,0.97582,0.9715,0.9735,0.95652,0.94627,0.91162,0.167,0.47285,0.29898,0.82875,0.0002476,0.0002476,0.0002476
40,853.211,0.27725,0.63766,0.46372,0.85804,0.99622,0.97826,0.976,0.96337,0.97361,0.95652,0.93922,0.87895,0.16625,0.51531,0.30737,0.82935,0.0002278,0.0002278,0.0002278
41,873.76,0.27581,0.66763,0.46461,0.86691,0.99608,0.97826,0.97604,0.9695,0.97347,0.95652,0.93627,0.8424,0.16895,0.54902,0.3049,0.82792,0.000208,0.000208,0.000208
42,894.376,0.27632,0.66974,0.45886,0.85984,0.99605,0.97826,0.97601,0.96703,0.97345,0.95652,0.93627,0.83544,0.16205,0.54236,0.29499,0.82765,0.0001882,0.0001882,0.0001882
43,915.699,0.26391,0.66511,0.45069,0.84748,0.99649,0.97826,0.97602,0.95959,0.97387,0.95652,0.93922,0.90574,0.17469,0.46779,0.30308,0.8301,0.0001684,0.0001684,0.0001684
44,936.049,0.26589,0.66784,0.45067,0.85375,0.9963,0.97826,0.97601,0.96327,0.92847,0.91304,0.854,0.83164,0.1646,0.55469,0.29826,0.82697,0.0001486,0.0001486,0.0001486
45,957.349,0.26975,0.65902,0.45056,0.84875,0.99631,0.97826,0.97579,0.966,0.95109,0.93478,0.89294,0.83205,0.16314,0.56238,0.29748,0.82651,0.0001288,0.0001288,0.0001288
46,978.191,0.26398,0.63814,0.4458,0.84975,0.99647,0.97826,0.9761,0.96349,0.97385,0.95652,0.93627,0.8677,0.16326,0.54957,0.28554,0.82709,0.000109,0.000109,0.000109
47,998.272,0.26791,0.66312,0.4498,0.86245,0.99631,0.97826,0.97627,0.96596,0.9737,0.95652,0.93536,0.87278,0.16541,0.53602,0.29652,0.82691,8.92e-05,8.92e-05,8.92e-05
48,1019.16,0.26459,0.62229,0.44651,0.84558,0.99634,0.97826,0.97622,0.96607,0.97373,0.95652,0.93536,0.9064,0.16544,0.48382,0.28426,0.82734,6.94e-05,6.94e-05,6.94e-05
49,1039.78,0.26191,0.66607,0.44487,0.85074,0.99631,0.97826,0.97611,0.96671,0.9737,0.95652,0.93536,0.89066,0.16254,0.50845,0.28285,0.82665,4.96e-05,4.96e-05,4.96e-05
50,1059.93,0.25914,0.62721,0.44079,0.84634,0.99877,0.9809,0.995,0.96795,0.97375,0.95652,0.93536,0.87673,0.15998,0.53042,0.28486,0.82564,2.98e-05,2.98e-05,2.98e-05
