epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.911168,1.75243,7.11955,3.36784,1.93948,0.00279,0.5,0.11191,0.06864,0.00279,0.5,0.11191,0.01119,1.73963,5.96355,3.145,2.18821,0.0982,0.0002,0.0002
2,1.46405,1.0813,5.6847,3.29954,1.53909,0.00282,0.5,0.145,0.09053,0.00282,0.5,0.03363,0.00353,1.78339,5.85728,3.16149,2.17839,0.0954901,0.0004901,0.0004901
3,1.97903,1.2292,5.00778,3.29707,1.66318,0.00282,0.5,0.15393,0.07159,0.00282,0.5,0.02256,0.00247,1.77734,5.7375,3.17991,2.22851,0.0927683,0.00076832,0.00076832
4,2.5151,1.36156,6.46846,3.33895,1.83675,0.00281,0.5,0.11583,0.0508,0.00281,0.5,0.02015,0.00201,1.84909,5.83397,3.25289,2.38197,0.0900347,0.00103466,0.00103466
5,2.99607,1.24625,6.67297,3.28336,1.82979,0.00281,0.5,0.11583,0.0508,0.00281,0.5,0.02015,0.00201,1.84909,5.83397,3.25289,2.38197,0.0872891,0.00128912,0.00128912
6,3.52863,1.4456,7.13772,3.39384,1.75522,0.00284,0.5,0.14298,0.02042,0.00142,0.25,0.00495,0.00049,1.88987,5.52092,3.28612,2.43613,0.0845317,0.0015317,0.0015317
7,4.01554,1.47232,6.37929,3.39045,1.83596,0.00284,0.5,0.14298,0.02042,0.00142,0.25,0.00495,0.00049,1.88987,5.52092,3.28612,2.43613,0.0817624,0.0017624,0.0017624
8,4.51439,1.6727,6.43293,3.51201,2.01399,0.00284,0.5,0.14298,0.02042,0.00142,0.25,0.00495,0.00049,1.88987,5.52092,3.28612,2.43613,0.0789812,0.00198122,0.00198122
9,5.18782,1.47423,5.18059,3.4463,1.73395,0.00487,0.75,0.03073,0.01399,0,0,0,0,2.07598,5.35527,3.22766,2.6131,0.0761882,0.00218816,0.00218816
10,5.98224,1.31319,6.35631,3.27736,1.80394,0.00487,0.75,0.03073,0.01399,0,0,0,0,2.07598,5.35527,3.22766,2.6131,0.0733832,0.00238322,0.00238322
11,7.27706,1.18947,6.40851,3.37172,1.70311,0.00487,0.75,0.03073,0.01399,0,0,0,0,2.07598,5.35527,3.22766,2.6131,0.0705664,0.0025664,0.0025664
12,8.29023,1.30986,5.61963,3.33493,1.7811,0.00487,0.75,0.03073,0.01399,0,0,0,0,2.07598,5.35527,3.22766,2.6131,0.0677377,0.0027377,0.0027377
13,9.7005,1.48792,5.44645,3.4489,1.73113,0.00489,0.75,0.03479,0.01387,0,0,0,0,2.30922,5.68128,3.25962,2.67229,0.0648971,0.00289712,0.00289712
14,11.7754,0.96223,6.30718,3.20426,1.53705,0.00489,0.75,0.03479,0.01387,0,0,0,0,2.30922,5.68128,3.25962,2.67229,0.0620447,0.00304466,0.00304466
15,13.0875,1.45328,7.57432,3.40403,1.83547,0.00489,0.75,0.03479,0.01387,0,0,0,0,2.30922,5.68128,3.25962,2.67229,0.0591803,0.00318032,0.00318032
16,13.6941,1.90912,6.54292,3.79066,2.16857,0.00489,0.75,0.03479,0.01387,0,0,0,0,2.30922,5.68128,3.25962,2.67229,0.0563041,0.0033041,0.0033041
17,14.2,1.8348,6.31823,3.34442,1.9842,0.00489,0.75,0.03479,0.01387,0,0,0,0,2.30922,5.68128,3.25962,2.67229,0.053416,0.003416,0.003416
18,14.7925,1.15282,6.95834,3.27471,1.62989,0,0,0,0,0,0,0,0,4.28215,158.609,257.314,6.432,0.050516,0.00351602,0.00351602
19,16.0688,3.15518,5.68267,4.24172,3.09396,0,0,0,0,0,0,0,0,4.28215,158.609,257.314,6.432,0.0476042,0.00360416,0.00360416
20,16.6896,3.22976,6.77635,4.15646,3.25408,0,0,0,0,0,0,0,0,4.28215,158.609,257.314,6.432,0.0446804,0.00368042,0.00368042
21,17.3097,2.93408,7.08675,3.57293,3.01432,0,0,0,0,0,0,0,0,4.28215,158.609,257.314,6.432,0.0417448,0.0037448,0.0037448
22,18.0233,3.09949,6.1219,3.74036,2.92449,0,0,0,0,0,0,0,0,4.28215,158.609,257.314,6.432,0.0387973,0.0037973,0.0037973
