epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,17.7837,0.54843,1.35063,1.18789,1.03294,0.00668,1,0.995,0.6755,0.00668,1,0.70417,0.50336,0.52363,2.50109,2.78714,1.16336,0.000205844,0.000205844,0.000205844
31,18.3036,0.63398,1.45994,1.32849,1.08001,0.00671,1,0.62313,0.46216,0.00671,1,0.62313,0.39895,0.48389,2.92546,2.67211,1.11384,0.000203041,0.000203041,0.000203041
32,18.7765,0.48957,1.21496,1.18763,0.97607,0.00671,1,0.62313,0.46216,0.00671,1,0.62313,0.39895,0.48389,2.92546,2.67211,1.11384,0.000199577,0.000199577,0.000199577
33,19.2386,0.6174,1.2509,1.34343,1.16118,0.00671,1,0.62313,0.46216,0.00671,1,0.62313,0.39895,0.48389,2.92546,2.67211,1.11384,0.000195452,0.000195452,0.000195452
34,19.7844,0.87287,1.85677,1.73587,1.34206,0.00671,1,0.50128,0.41344,0.00671,1,0.50128,0.30082,0.48038,3.97451,2.58743,1.11802,0.000190668,0.000190668,0.000190668
35,20.5344,0.49853,1.07364,1.00849,0.98785,0.00671,1,0.50128,0.41344,0.00671,1,0.50128,0.30082,0.48038,3.97451,2.58743,1.11802,0.000185224,0.000185224,0.000185224
36,21.2363,0.66383,1.59102,1.37713,1.08958,0.00671,1,0.50128,0.41344,0.00671,1,0.50128,0.30082,0.48038,3.97451,2.58743,1.11802,0.000179119,0.000179119,0.000179119
37,21.9751,0.57082,1.06874,1.20147,1.08235,0.00671,1,0.50128,0.41344,0.00671,1,0.50128,0.30082,0.48038,3.97451,2.58743,1.11802,0.000172354,0.000172354,0.000172354
38,22.5493,0.45167,1.25,1.49963,1.02609,0.85878,0.5,0.5012,0.41337,0.85878,0.5,0.5012,0.27624,0.44212,3.93872,2.55894,1.10749,0.00016493,0.00016493,0.00016493
39,23.0161,0.53338,1.09327,1.05412,1.01429,0.85878,0.5,0.5012,0.41337,0.85878,0.5,0.5012,0.27624,0.44212,3.93872,2.55894,1.10749,0.000156845,0.000156845,0.000156845
40,23.4745,0.45766,1.60682,1.33769,1.04355,0.85878,0.5,0.5012,0.41337,0.85878,0.5,0.5012,0.27624,0.44212,3.93872,2.55894,1.10749,0.0001481,0.0001481,0.0001481
41,24.6018,0.56433,1.23044,1.3558,1.1003,0.85878,0.5,0.5012,0.41337,0.85878,0.5,0.5012,0.27624,0.44212,3.93872,2.55894,1.10749,0.000138694,0.000138694,0.000138694
42,25.2783,0.45466,1.62062,1.77886,1.00545,0.91969,0.5,0.50109,0.41329,0.91969,0.5,0.50109,0.32599,0.42104,2.91961,2.52753,1.09828,0.000128629,0.000128629,0.000128629
43,25.9744,0.82296,1.24389,2.07323,1.4914,0.91969,0.5,0.50109,0.41329,0.91969,0.5,0.50109,0.32599,0.42104,2.91961,2.52753,1.09828,0.000117904,0.000117904,0.000117904
44,26.5629,0.36823,0.92906,1.25563,0.87573,0.91969,0.5,0.50109,0.41329,0.91969,0.5,0.50109,0.32599,0.42104,2.91961,2.52753,1.09828,0.000106518,0.000106518,0.000106518
45,27.039,0.41691,0.9532,1.28913,1.00353,0.91969,0.5,0.50109,0.41329,0.91969,0.5,0.50109,0.32599,0.42104,2.91961,2.52753,1.09828,9.44722e-05,9.44722e-05,9.44722e-05
46,27.5145,0.88209,1.45743,2.19787,1.37549,0.9235,0.5,0.501,0.41299,0.9235,0.5,0.50099,0.37562,0.434,1.98553,2.47811,1.08932,8.17663e-05,8.17663e-05,8.17663e-05
47,27.9756,0.38471,0.76171,1.25871,0.96029,0.9235,0.5,0.501,0.41299,0.9235,0.5,0.50099,0.37562,0.434,1.98553,2.47811,1.08932,6.84003e-05,6.84003e-05,6.84003e-05
48,28.4323,0.29108,0.78029,1.2497,0.91742,0.9235,0.5,0.501,0.41299,0.9235,0.5,0.50099,0.37562,0.434,1.98553,2.47811,1.08932,5.43742e-05,5.43742e-05,5.43742e-05
49,28.9173,0.49397,0.93583,1.44098,1.09226,0.9235,0.5,0.501,0.41299,0.9235,0.5,0.50099,0.37562,0.434,1.98553,2.47811,1.08932,3.96879e-05,3.96879e-05,3.96879e-05
50,29.403,0.38907,0.93547,1.25497,0.90053,0.95606,0.5,0.50079,0.41318,0.95606,0.5,0.50079,0.37547,0.41866,1.65099,2.4052,1.07421,2.43415e-05,2.43415e-05,2.43415e-05
