epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50908,1.29397,5.82572,3.35344,1.69823,0.00386,0.625,0.17338,0.10039,0.00286,0.5,0.0827,0.0088,1.7894,5.77001,3.17928,2.24028,0.0919,0.0009,0.0009
2,2.76933,1.29939,6.02949,3.3164,1.75806,0.00393,0.625,0.13527,0.06538,0.00224,0.375,0.07742,0.00862,1.86024,5.8333,3.22756,2.35515,0.0828624,0.00186238,0.00186238
3,3.96443,1.96094,6.15451,3.34373,2.14959,0.5068,0.25,0.02239,0.00476,0,0,0,0,2.91767,220.493,4.17885,5.88262,0.0737852,0.00278516,0.00278516
4,6.0072,2.70178,6.75634,3.49673,2.50594,0.0013,0.375,0.00763,0.00268,0,0,0,0,3.94271,142.886,4.35558,12.3148,0.0646683,0.00366834,0.00366834
5,7.31035,2.67745,9.563,3.69147,2.6127,0.0013,0.375,0.00763,0.00268,0,0,0,0,3.94271,142.886,4.35558,12.3148,0.0555119,0.00451192,0.00451192
6,8.81068,2.8917,10.9363,4.00502,2.75477,0.00197,0.5,0.00415,0.00114,0,0,0,0,2.56856,27.1376,4.00423,3.41575,0.0463159,0.0053159,0.0053159
7,10.8485,2.8852,8.84696,3.78705,2.72663,0.00197,0.5,0.00415,0.00114,0,0,0,0,2.56856,27.1376,4.00423,3.41575,0.0370803,0.00608028,0.00608028
8,12.2033,2.86188,7.99078,3.96627,2.82823,0.00245,0.5,0.01653,0.00246,0,0,0,0,3.21186,15.4535,3.62386,3.3604,0.0278051,0.00680506,0.00680506
9,13.5031,3.00187,8.89222,3.94558,2.81029,0.00245,0.5,0.01653,0.00246,0,0,0,0,3.21186,15.4535,3.62386,3.3604,0.0184902,0.00749024,0.00749024
10,14.7963,2.90014,9.87914,4.23751,2.82825,0.00245,0.5,0.01653,0.00246,0,0,0,0,3.21186,15.4535,3.62386,3.3604,0.00913582,0.00813582,0.00813582
11,16.1022,2.9398,10.1057,4.41482,2.83615,0.00245,0.5,0.01653,0.00246,0,0,0,0,3.21186,15.4535,3.62386,3.3604,0.00802,0.00802,0.00802
12,17.4322,2.74523,7.09139,3.78846,2.73046,0,0,0,0,0,0,0,0,5.78377,255.729,inf,34.7653,0.007822,0.007822,0.007822
13,18.7298,2.84988,6.02416,3.75614,2.87529,0,0,0,0,0,0,0,0,5.78377,255.729,inf,34.7653,0.007624,0.007624,0.007624
14,20.0238,2.76866,6.02767,3.64664,2.96371,0,0,0,0,0,0,0,0,5.78377,255.729,inf,34.7653,0.007426,0.007426,0.007426
15,21.5903,3.06107,5.7347,3.72604,3.07103,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.007228,0.007228,0.007228
16,23.4716,2.91034,5.75497,3.6931,3.05676,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00703,0.00703,0.00703
17,24.7806,3.14667,5.60271,3.90311,3.23327,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.006832,0.006832,0.006832
18,26.0953,3.02207,5.33106,4.01876,3.143,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.006634,0.006634,0.006634
19,27.4004,2.83379,5.44589,3.80371,2.98096,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.006436,0.006436,0.006436
20,28.9705,2.94779,5.43353,3.78066,3.15608,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.006238,0.006238,0.006238
21,30.3254,2.83206,5.49364,3.67688,2.9233,0.03846,0.125,0.02823,0.00282,0,0,0,0,nan,nan,nan,nan,0.00604,0.00604,0.00604
