epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76397,1.57107,6.56492,3.51638,2.08067,0.00406,0.64286,0.11369,0.06842,0.00212,0.35714,0.05824,0.01104,1.43689,5.77426,3.08126,1.94224,0.08416,0.00016,0.00016
2,5.11996,1.61682,5.92369,3.54061,2.16207,0.00353,0.57143,0.13585,0.10111,0.00171,0.28571,0.09156,0.01013,1.40773,5.30186,3.04589,1.90673,0.0673235,0.000323466,0.000323466
3,7.37822,1.46941,5.13191,3.50201,2.02529,0.00465,0.71429,0.1722,0.11656,0.00089,0.14286,0.00428,0.00116,1.39453,4.89904,3.04686,1.9405,0.0504802,0.0004802,0.0004802
4,10.5772,1.35735,4.60135,3.42582,1.90637,0.00466,0.71429,0.21701,0.11405,0.00185,0.28571,0.02273,0.00328,1.30844,4.45707,3.05059,1.87979,0.0336302,0.000630202,0.000630202
5,12.8888,1.24514,4.14315,3.3608,1.81597,0.00422,0.64286,0.18169,0.10018,0.00185,0.28571,0.08442,0.0126,1.19825,3.98028,3.03333,1.76968,0.0167735,0.000773472,0.000773472
6,15.193,1.15183,3.98911,3.34081,1.68313,0.00573,0.85714,0.19837,0.11807,0.0024,0.35714,0.07846,0.02435,0.91378,3.13959,3.06678,1.54531,0.000901,0.000901,0.000901
7,17.5063,0.94113,3.47445,3.27533,1.44779,0.00578,0.85714,0.18618,0.10904,0.00377,0.57143,0.02891,0.01007,0.70822,2.77817,3.06802,1.30267,0.0008812,0.0008812,0.0008812
8,19.6999,0.87233,3.12596,3.15796,1.38652,0.00669,1,0.23922,0.16116,0.00624,0.92857,0.18428,0.07307,0.66026,2.30809,2.99949,1.23088,0.0008614,0.0008614,0.0008614
9,22.7209,0.88942,2.80307,3.14483,1.37172,0.00625,0.92857,0.25323,0.19621,0.00619,0.92857,0.17124,0.10871,0.57348,2.00309,2.92717,1.15863,0.0008416,0.0008416,0.0008416
10,25.1154,0.70999,2.40417,3.05867,1.23167,0.0067,1,0.4572,0.39944,0.0067,1,0.45679,0.31017,0.49054,1.61027,2.79527,1.09183,0.0008218,0.0008218,0.0008218
11,27.3239,0.75191,2.37823,2.97407,1.24241,0.00667,1,0.5016,0.46317,0.00667,1,0.50114,0.38241,0.45312,1.4039,2.60574,1.05945,0.000802,0.000802,0.000802
12,29.527,0.64007,2.01127,2.87342,1.13854,0.76993,0.44953,0.77342,0.67914,0.76993,0.44953,0.77342,0.64195,0.44547,1.25351,2.42621,1.03831,0.0007822,0.0007822,0.0007822
13,31.7342,0.64831,1.89074,2.75902,1.13849,0.95576,0.69347,0.933,0.83604,0.95576,0.69347,0.933,0.75205,0.44612,1.15018,2.176,1.02578,0.0007624,0.0007624,0.0007624
14,34.3948,0.59226,1.72041,2.60206,1.10397,0.93624,0.78717,0.97069,0.81619,0.93624,0.78717,0.97069,0.79877,0.46694,1.05816,1.83346,1.04223,0.0007426,0.0007426,0.0007426
15,37.1427,0.59043,1.55822,2.41669,1.09857,1,0.82744,0.995,0.82751,1,0.82744,0.995,0.82987,0.46836,0.96753,1.48257,1.03729,0.0007228,0.0007228,0.0007228
16,39.4121,0.61604,1.70177,2.23391,1.15629,0.81803,1,0.995,0.82622,0.81803,1,0.995,0.83139,0.47472,0.88077,1.37327,1.03796,0.000703,0.000703,0.000703
17,41.7265,0.60302,1.44242,2.00739,1.14786,0.81885,1,0.98625,0.84958,0.81885,1,0.98625,0.85329,0.49084,0.84542,1.60261,1.05237,0.0006832,0.0006832,0.0006832
18,43.9967,0.59867,1.37436,1.86828,1.12149,0.82061,0.99732,0.98625,0.84691,0.82061,0.99732,0.98625,0.85903,0.45294,0.77176,2.01259,1.02962,0.0006634,0.0006634,0.0006634
19,46.4487,0.62261,1.38332,1.69403,1.12679,0.8624,0.95456,0.98625,0.82078,0.8624,0.95456,0.98625,0.87454,0.43444,0.72178,2.12203,1.03914,0.0006436,0.0006436,0.0006436
