epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28786,1.74841,6.89251,3.66803,2.19547,0.00385,0.625,0.16635,0.11039,0.00284,0.5,0.13181,0.02312,1.69985,5.91361,3.12611,2.13455,0.09604,4e-05,4e-05
2,2.20044,1.68275,6.49755,3.52398,2.24867,0.00487,0.75,0.18579,0.08617,0.00148,0.25,0.04835,0.00895,1.8373,5.70044,3.16218,2.27481,0.0910882,8.8218e-05,8.8218e-05
3,3.11326,1.68645,6.44411,3.63882,2.35369,0.00581,0.875,0.15274,0.09879,0.00303,0.5,0.07076,0.01353,1.87064,5.77684,3.16196,2.27575,0.0861345,0.000134456,0.000134456
4,4.16379,1.50771,6.10136,3.49258,2.27071,0.0049,0.75,0.21593,0.16103,0.00311,0.5,0.1418,0.02676,1.84688,5.39131,3.13065,2.26683,0.0811787,0.000178714,0.000178714
5,5.5518,1.70999,5.639,3.57339,2.25785,0.00488,0.75,0.26748,0.15354,0.00227,0.375,0.145,0.01477,1.85687,5.3838,3.12537,2.27636,0.076221,0.000220992,0.000220992
6,6.3895,1.72226,5.99812,3.49845,2.3717,0.00395,0.625,0.28612,0.18699,0.00244,0.375,0.13186,0.01362,1.84801,5.18765,3.09202,2.29455,0.0712613,0.00026129,0.00026129
7,7.55094,1.56004,5.60715,3.45283,2.33274,0.00392,0.625,0.3574,0.20185,0.00149,0.25,0.13046,0.01345,1.82629,5.11119,3.0491,2.30996,0.0662996,0.000299608,0.000299608
8,8.88967,1.45639,5.74437,3.4963,2.14358,0.00392,0.625,0.3574,0.20185,0.00149,0.25,0.13046,0.01345,1.82629,5.11119,3.0491,2.30996,0.0613359,0.000335946,0.000335946
9,9.8816,1.50126,5.13571,3.46342,2.00509,0.0039,0.625,0.38694,0.17872,0.0022,0.375,0.14306,0.01466,1.72823,4.97979,3.04208,2.20898,0.0563703,0.000370304,0.000370304
10,10.7606,1.42829,5.00278,3.45497,2.11031,0.00487,0.75,0.38855,0.17581,0.00075,0.125,0.00343,0.00103,1.55917,4.73864,3.03665,2.04057,0.0514027,0.000402682,0.000402682
11,11.6066,1.11694,4.52008,3.34965,1.76083,0.00487,0.75,0.38855,0.17581,0.00075,0.125,0.00343,0.00103,1.55917,4.73864,3.03665,2.04057,0.0464331,0.00043308,0.00043308
12,12.4827,1.23895,4.79075,3.34738,1.79031,0.00487,0.75,0.33105,0.12344,0.00225,0.375,0.01779,0.00231,1.47609,4.78948,3.03275,1.92286,0.0414615,0.000461498,0.000461498
13,13.3685,1.14215,4.5727,3.38178,1.76218,0.00487,0.75,0.33105,0.12344,0.00225,0.375,0.01779,0.00231,1.47609,4.78948,3.03275,1.92286,0.0364879,0.000487936,0.000487936
14,14.1957,1.3689,4.62236,3.30614,1.94487,0.00487,0.75,0.33105,0.12344,0.00225,0.375,0.01779,0.00231,1.47609,4.78948,3.03275,1.92286,0.0315124,0.000512394,0.000512394
15,15.0535,1.19965,4.17278,3.33562,1.80287,0.00394,0.625,0.25393,0.11248,0.0015,0.25,0.00803,0.0008,1.2765,4.46643,3.05943,1.73094,0.0265349,0.000534872,0.000534872
16,15.9031,1.06157,4.12793,3.28619,1.73578,0.00394,0.625,0.25393,0.11248,0.0015,0.25,0.00803,0.0008,1.2765,4.46643,3.05943,1.73094,0.0215554,0.00055537,0.00055537
17,16.7559,1.18065,4.05439,3.28236,1.73692,0.00394,0.625,0.25393,0.11248,0.0015,0.25,0.00803,0.0008,1.2765,4.46643,3.05943,1.73094,0.0165739,0.000573888,0.000573888
18,17.6305,1.14934,4.18998,3.27052,1.69285,0.0049,0.75,0.20198,0.13376,0.00155,0.25,0.01288,0.002,0.89953,3.98453,3.02877,1.41796,0.0115904,0.000590426,0.000590426
19,18.4617,1.1717,4.2724,3.29994,1.72991,0.0049,0.75,0.20198,0.13376,0.00155,0.25,0.01288,0.002,0.89953,3.98453,3.02877,1.41796,0.00660498,0.000604984,0.000604984
20,19.3596,1.16979,3.97976,3.37322,1.69814,0.0049,0.75,0.20198,0.13376,0.00155,0.25,0.01288,0.002,0.89953,3.98453,3.02877,1.41796,0.00161756,0.000617562,0.000617562
21,20.6932,0.92157,3.69739,3.25937,1.48812,0.00583,0.875,0.27482,0.22186,0.00083,0.125,0.01257,0.00251,0.79852,3.74123,3.03608,1.35127,0.000604,0.000604,0.000604
22,21.9677,1.06083,3.58248,3.24171,1.57732,0.00583,0.875,0.27482,0.22186,0.00083,0.125,0.01257,0.00251,0.79852,3.74123,3.03608,1.35127,0.0005842,0.0005842,0.0005842
23,22.8242,0.87581,3.43795,3.20685,1.35841,0.00583,0.875,0.27482,0.22186,0.00083,0.125,0.01257,0.00251,0.79852,3.74123,3.03608,1.35127,0.0005644,0.0005644,0.0005644
24,23.6834,0.79967,3.25805,3.1439,1.36537,0.00498,0.75,0.23635,0.19413,0.00246,0.375,0.16574,0.04416,0.70698,3.40668,3.03563,1.27709,0.0005446,0.0005446,0.0005446
25,24.6279,0.84829,3.17774,3.17003,1.40153,0.00498,0.75,0.23635,0.19413,0.00246,0.375,0.16574,0.04416,0.70698,3.40668,3.03563,1.27709,0.0005248,0.0005248,0.0005248
26,25.4895,0.88066,3.02178,3.18366,1.37712,0.00498,0.75,0.23635,0.19413,0.00246,0.375,0.16574,0.04416,0.70698,3.40668,3.03563,1.27709,0.000505,0.000505,0.000505
27,26.3887,0.99752,3.47631,3.15327,1.51295,0.0042,0.625,0.22784,0.18436,0.00335,0.5,0.17817,0.07839,0.64002,3.28539,3.04054,1.23688,0.0004852,0.0004852,0.0004852
28,27.2586,0.76523,3.08036,3.11646,1.30073,0.0042,0.625,0.22784,0.18436,0.00335,0.5,0.17817,0.07839,0.64002,3.28539,3.04054,1.23688,0.0004654,0.0004654,0.0004654
29,28.0976,0.80381,2.92119,3.12075,1.31973,0.0042,0.625,0.22784,0.18436,0.00335,0.5,0.17817,0.07839,0.64002,3.28539,3.04054,1.23688,0.0004456,0.0004456,0.0004456
30,28.9859,0.79351,2.90607,3.07641,1.36335,0.00501,0.75,0.26625,0.22829,0.00417,0.625,0.20824,0.12053,0.55121,2.96748,2.99129,1.17573,0.0004258,0.0004258,0.0004258
31,29.8141,0.69609,2.64238,3.07409,1.23222,0.00501,0.75,0.26625,0.22829,0.00417,0.625,0.20824,0.12053,0.55121,2.96748,2.99129,1.17573,0.000406,0.000406,0.000406
32,30.9187,0.6908,2.68901,3.03492,1.24678,0.00501,0.75,0.26625,0.22829,0.00417,0.625,0.20824,0.12053,0.55121,2.96748,2.99129,1.17573,0.0003862,0.0003862,0.0003862
33,31.7836,0.76995,2.77406,3.13006,1.28248,0.00501,0.75,0.26625,0.22829,0.00417,0.625,0.20824,0.12053,0.55121,2.96748,2.99129,1.17573,0.0003664,0.0003664,0.0003664
34,33.0632,0.75599,2.67567,3.04832,1.28654,0.00582,0.875,0.23553,0.19477,0.00498,0.75,0.23177,0.11928,0.46445,2.53694,2.9705,1.14427,0.0003466,0.0003466,0.0003466
35,34.428,0.77972,2.75132,3.02574,1.27553,0.00582,0.875,0.23553,0.19477,0.00498,0.75,0.23177,0.11928,0.46445,2.53694,2.9705,1.14427,0.0003268,0.0003268,0.0003268
36,35.3587,0.79257,2.64655,3.0663,1.2258,0.00582,0.875,0.23553,0.19477,0.00498,0.75,0.23177,0.11928,0.46445,2.53694,2.9705,1.14427,0.000307,0.000307,0.000307
37,36.2417,0.72462,2.45493,3.03298,1.33489,0.00667,1,0.41693,0.366,0.00581,0.875,0.4048,0.26969,0.41392,2.2623,2.87366,1.09745,0.0002872,0.0002872,0.0002872
38,37.0975,0.7391,2.68089,3.05749,1.24358,0.00667,1,0.41693,0.366,0.00581,0.875,0.4048,0.26969,0.41392,2.2623,2.87366,1.09745,0.0002674,0.0002674,0.0002674
39,37.9836,0.71406,2.68227,3.02288,1.16172,0.00667,1,0.41693,0.366,0.00581,0.875,0.4048,0.26969,0.41392,2.2623,2.87366,1.09745,0.0002476,0.0002476,0.0002476
40,38.8838,0.76084,2.46356,3.02448,1.28101,0.00667,1,0.40224,0.33854,0.00667,1,0.3571,0.21819,0.39435,2.03727,2.79754,1.06233,0.0002278,0.0002278,0.0002278
41,39.7176,0.71038,2.33173,3.01751,1.20258,0.00667,1,0.40224,0.33854,0.00667,1,0.3571,0.21819,0.39435,2.03727,2.79754,1.06233,0.000208,0.000208,0.000208
42,40.5552,0.74102,2.42932,3.00922,1.27155,0.00667,1,0.40224,0.33854,0.00667,1,0.3571,0.21819,0.39435,2.03727,2.79754,1.06233,0.0001882,0.0001882,0.0001882
43,41.4307,0.61807,2.22723,3.0272,1.15776,0.00667,1,0.62943,0.4629,0.00667,1,0.51886,0.26967,0.37168,1.8454,2.77462,1.02876,0.0001684,0.0001684,0.0001684
44,42.2918,0.68308,2.25258,3.00983,1.19883,0.00667,1,0.62943,0.4629,0.00667,1,0.51886,0.26967,0.37168,1.8454,2.77462,1.02876,0.0001486,0.0001486,0.0001486
45,43.1438,0.70069,2.32446,3.02961,1.13091,0.00667,1,0.62943,0.4629,0.00667,1,0.51886,0.26967,0.37168,1.8454,2.77462,1.02876,0.0001288,0.0001288,0.0001288
46,44.0538,0.65992,2.14929,2.97451,1.15907,0.00667,1,0.66292,0.51156,0.00667,1,0.54341,0.36766,0.38173,1.76078,2.74001,1.02679,0.000109,0.000109,0.000109
47,45.0703,0.60369,2.22856,2.89609,1.14465,0.00667,1,0.66292,0.51156,0.00667,1,0.54341,0.36766,0.38173,1.76078,2.74001,1.02679,8.92e-05,8.92e-05,8.92e-05
48,46.3331,0.67221,2.33287,3.03035,1.10074,0.00667,1,0.66292,0.51156,0.00667,1,0.54341,0.36766,0.38173,1.76078,2.74001,1.02679,6.94e-05,6.94e-05,6.94e-05
49,47.5718,0.62963,2.11925,2.97905,1.14715,0.00667,1,0.66292,0.51156,0.00667,1,0.54341,0.36766,0.38173,1.76078,2.74001,1.02679,4.96e-05,4.96e-05,4.96e-05
50,48.533,0.63905,2.1046,2.94769,1.11057,0.00668,1,0.69794,0.52653,0.00668,1,0.55553,0.35705,0.37624,1.76031,2.73249,1.03812,2.98e-05,2.98e-05,2.98e-05
